rps_scenario_id,load_zone,year,rps_target
6,AZ_APS_SW,2021,0.11
6,AZ_APS_SW,2022,0.12
6,AZ_APS_SW,2023,0.13
6,AZ_APS_SW,2024,0.14
6,AZ_APS_SW,2025,0.15
6,AZ_APS_SW,2026,0.15
6,AZ_APS_SW,2027,0.15
6,AZ_APS_SW,2028,0.15
6,AZ_APS_SW,2029,0.15
6,AZ_APS_SW,2030,0.15
6,AZ_APS_SW,2031,0.15
6,AZ_APS_SW,2032,0.15
6,AZ_APS_SW,2033,0.15
6,AZ_APS_SW,2034,0.15
6,AZ_APS_SW,2035,0.15
6,AZ_APS_SW,2036,0.15
6,AZ_APS_SW,2037,0.15
6,AZ_APS_SW,2038,0.15
6,AZ_APS_SW,2039,0.15
6,AZ_APS_SW,2040,0.15
6,AZ_APS_SW,2041,0.15
6,AZ_APS_SW,2042,0.15
6,AZ_APS_SW,2043,0.15
6,AZ_APS_SW,2044,0.15
6,AZ_APS_SW,2045,0.15
6,AZ_APS_SW,2046,0.15
6,AZ_APS_SW,2047,0.15
6,AZ_APS_SW,2048,0.15
6,AZ_APS_SW,2049,0.15
6,AZ_APS_SW,2050,0.15
6,AZ_APS_SW,2051,0.15
6,AZ_APS_SW,2052,0.15
6,AZ_APS_SW,2053,0.15
6,AZ_APS_SW,2054,0.15
6,AZ_APS_SW,2055,0.15
6,AZ_APS_SW,2056,0.15
6,AZ_APS_SW,2057,0.15
6,AZ_APS_SW,2058,0.15
6,AZ_APS_SW,2059,0.15
6,AZ_APS_SW,2060,0.15
6,AZ_APS_SW,2061,0.15
6,AZ_APS_SW,2062,0.15
6,AZ_APS_SW,2063,0.15
6,AZ_APS_SW,2064,0.15
6,AZ_APS_SW,2065,0.15
6,AZ_APS_SW,2066,0.15
6,AZ_APS_SW,2067,0.15
6,AZ_APS_SW,2068,0.15
6,AZ_APS_SW,2069,0.15
6,AZ_APS_SW,2070,0.15
6,AZ_APS_SW,2071,0.15
6,AZ_APS_SW,2072,0.15
6,AZ_APS_SW,2073,0.15
6,AZ_APS_SW,2074,0.15
6,AZ_APS_SW,2075,0.15
6,AZ_APS_SW,2076,0.15
6,AZ_APS_SW,2077,0.15
6,AZ_APS_SW,2078,0.15
6,AZ_APS_SW,2079,0.15
6,AZ_APS_SW,2080,0.15
6,AZ_NM_N,2010,0
6,AZ_NM_N,2011,0
6,AZ_NM_N,2012,0
6,AZ_NM_N,2013,0
6,AZ_NM_N,2014,0
6,AZ_NM_N,2015,0
6,AZ_NM_N,2016,0
6,AZ_NM_N,2017,0
6,AZ_NM_N,2018,0
6,AZ_NM_N,2019,0
6,AZ_NM_N,2020,0
6,AZ_NM_N,2021,0
6,AZ_NM_N,2022,0
6,AZ_NM_N,2023,0
6,AZ_NM_N,2024,0
6,AZ_NM_N,2025,0
6,AZ_NM_N,2026,0
6,AZ_NM_N,2027,0
6,AZ_NM_N,2028,0
6,AZ_NM_N,2029,0
6,AZ_NM_N,2030,0
6,AZ_NM_N,2031,0
6,AZ_NM_N,2032,0
6,AZ_NM_N,2033,0
6,AZ_NM_N,2034,0
6,AZ_NM_N,2035,0
6,AZ_NM_N,2036,0
6,AZ_NM_N,2037,0
6,AZ_NM_N,2038,0
6,AZ_NM_N,2039,0
6,AZ_NM_N,2040,0
6,AZ_NM_N,2041,0
6,AZ_NM_N,2042,0
6,AZ_NM_N,2043,0
6,AZ_NM_N,2044,0
6,AZ_NM_N,2045,0
6,AZ_NM_N,2046,0
6,AZ_NM_N,2047,0
6,AZ_NM_N,2048,0
6,AZ_NM_N,2049,0
6,AZ_NM_N,2050,0
6,AZ_NM_N,2051,0
6,AZ_NM_N,2052,0
6,AZ_NM_N,2053,0
6,AZ_NM_N,2054,0
6,AZ_NM_N,2055,0
6,AZ_NM_N,2056,0
6,AZ_NM_N,2057,0
6,AZ_NM_N,2058,0
6,AZ_NM_N,2059,0
6,AZ_NM_N,2060,0
6,AZ_NM_N,2061,0
6,AZ_NM_N,2062,0
6,AZ_NM_N,2063,0
6,AZ_NM_N,2064,0
6,AZ_NM_N,2065,0
6,AZ_NM_N,2066,0
6,AZ_NM_N,2067,0
6,AZ_NM_N,2068,0
6,AZ_NM_N,2069,0
6,AZ_NM_N,2070,0
6,AZ_NM_N,2071,0
6,AZ_NM_N,2072,0
6,AZ_NM_N,2073,0
6,AZ_NM_N,2074,0
6,AZ_NM_N,2075,0
6,AZ_NM_N,2076,0
6,AZ_NM_N,2077,0
6,AZ_NM_N,2078,0
6,AZ_NM_N,2079,0
6,AZ_NM_N,2080,0
6,AZ_NW,2010,0.025013
6,AZ_NW,2011,0.0300126
6,AZ_NW,2012,0.0350123
6,AZ_NW,2013,0.0400119
6,AZ_NW,2014,0.0450127
6,AZ_NW,2015,0.0500136
6,AZ_NW,2016,0.0600141
6,AZ_NW,2017,0.0700148
6,AZ_NW,2018,0.0800156
6,AZ_NW,2019,0.0900163
6,AZ_NW,2020,0.100017
6,AZ_NW,2021,0.110016
6,AZ_NW,2022,0.120016
6,AZ_NW,2023,0.130015
6,AZ_NW,2024,0.140014
6,AZ_NW,2025,0.150013
6,AZ_NW,2026,0.150013
6,AZ_NW,2027,0.150013
6,AZ_NW,2028,0.150013
6,AZ_NW,2029,0.150013
6,AZ_NW,2030,0.150013
6,AZ_NW,2031,0.150013
6,AZ_NW,2032,0.150013
6,AZ_NW,2033,0.150013
6,AZ_NW,2034,0.150013
6,AZ_NW,2035,0.150013
6,AZ_NW,2036,0.150013
6,AZ_NW,2037,0.150013
6,AZ_NW,2038,0.150013
6,AZ_NW,2039,0.150013
6,AZ_NW,2040,0.150013
6,AZ_NW,2041,0.150013
6,AZ_NW,2042,0.150013
6,AZ_NW,2043,0.150013
6,AZ_NW,2044,0.150013
6,AZ_NW,2045,0.150013
6,AZ_NW,2046,0.150013
6,AZ_NW,2047,0.150013
6,AZ_NW,2048,0.150013
6,AZ_NW,2049,0.150013
6,AZ_NW,2050,0.150013
6,AZ_NW,2051,0.150013
6,AZ_NW,2052,0.150013
6,AZ_NW,2053,0.150013
6,AZ_NW,2054,0.150013
6,AZ_NW,2055,0.150013
6,AZ_NW,2056,0.150013
6,AZ_NW,2057,0.150013
6,AZ_NW,2058,0.150013
6,AZ_NW,2059,0.150013
6,AZ_NW,2060,0.150013
6,AZ_NW,2061,0.150013
6,AZ_NW,2062,0.150013
6,AZ_NW,2063,0.150013
6,AZ_NW,2064,0.150013
6,AZ_NW,2065,0.150013
6,AZ_NW,2066,0.150013
6,AZ_NW,2067,0.150013
6,AZ_NW,2068,0.150013
6,AZ_NW,2069,0.150013
6,AZ_NW,2070,0.150013
6,AZ_NW,2071,0.150013
6,AZ_NW,2072,0.150013
6,AZ_NW,2073,0.150013
6,AZ_NW,2074,0.150013
6,AZ_NW,2075,0.150013
6,AZ_NW,2076,0.150013
6,AZ_NW,2077,0.150013
6,AZ_NW,2078,0.150013
6,AZ_NW,2079,0.150013
6,AZ_NW,2080,0.150013
6,AZ_PHX,2010,0.025
6,AZ_PHX,2011,0.03
6,AZ_PHX,2012,0.035
6,AZ_PHX,2013,0.04
6,AZ_PHX,2014,0.045
6,AZ_PHX,2015,0.05
6,AZ_PHX,2016,0.06
6,AZ_PHX,2017,0.07
6,AZ_PHX,2018,0.08
6,AZ_PHX,2019,0.09
6,AZ_PHX,2020,0.1
6,AZ_PHX,2021,0.11
6,AZ_PHX,2022,0.12
6,AZ_PHX,2023,0.13
6,AZ_PHX,2024,0.14
6,AZ_PHX,2025,0.15
6,AZ_PHX,2026,0.15
6,AZ_PHX,2027,0.15
6,AZ_PHX,2028,0.15
6,AZ_PHX,2029,0.15
6,AZ_PHX,2030,0.15
6,AZ_PHX,2031,0.15
6,AZ_PHX,2032,0.15
6,AZ_PHX,2033,0.15
6,AZ_PHX,2034,0.15
6,AZ_PHX,2035,0.15
6,AZ_PHX,2036,0.15
6,AZ_PHX,2037,0.15
6,AZ_PHX,2038,0.15
6,AZ_PHX,2039,0.15
6,AZ_PHX,2040,0.15
