PROJECT	proj_dbid	proj_gen_tech	proj_load_zone	proj_connect_cost_per_mw	proj_capacity_limit_mw	proj_variable_om
Oahu_CentralTrackingPV_155_na	.	CentralTrackingPV	Oahu	19848.08803	0.762637441	.
Oahu_CentralTrackingPV_156_na	.	CentralTrackingPV	Oahu	19552.99111	1.612843383	.
Oahu_CentralTrackingPV_157_na	.	CentralTrackingPV	Oahu	19301.18038	5.318247013	.
Oahu_CentralTrackingPV_158_na	.	CentralTrackingPV	Oahu	19100.06107	2.829889315	.
Oahu_CentralTrackingPV_159_na	.	CentralTrackingPV	Oahu	18845.60735	0.00588	.
Oahu_CentralTrackingPV_15_na	.	CentralTrackingPV	Oahu	37974.5715	10.4549209	.
Oahu_CentralTrackingPV_160_na	.	CentralTrackingPV	Oahu	18795.44115	0.6468	.
Oahu_CentralTrackingPV_161_na	.	CentralTrackingPV	Oahu	18797.69298	0.358769023	.
Oahu_CentralTrackingPV_162_na	.	CentralTrackingPV	Oahu	21491.44215	0.22932	.
Oahu_CentralTrackingPV_163_na	.	CentralTrackingPV	Oahu	24924.50065	0.551871281	.
Oahu_CentralTrackingPV_164_na	.	CentralTrackingPV	Oahu	25582.55814	0.515549815	.
Oahu_CentralTrackingPV_165_na	.	CentralTrackingPV	Oahu	26261.09319	10.85943165	.
Oahu_CentralTrackingPV_166_na	.	CentralTrackingPV	Oahu	26966.49842	35.48228721	.
Oahu_CentralTrackingPV_167_na	.	CentralTrackingPV	Oahu	27681.65409	27.93776552	.
Oahu_CentralTrackingPV_168_na	.	CentralTrackingPV	Oahu	28412.97439	44.59106809	.
Oahu_CentralTrackingPV_169_na	.	CentralTrackingPV	Oahu	29167.70884	34.90732102	.
Oahu_CentralTrackingPV_16_na	.	CentralTrackingPV	Oahu	38561.09666	10.34286102	.
Oahu_CentralTrackingPV_170_na	.	CentralTrackingPV	Oahu	29927.95714	35.10756709	.
Oahu_CentralTrackingPV_171_na	.	CentralTrackingPV	Oahu	30700.99707	43.18736618	.
Oahu_CentralTrackingPV_172_na	.	CentralTrackingPV	Oahu	31494.7695	50.40528788	.
Oahu_CentralTrackingPV_173_na	.	CentralTrackingPV	Oahu	32290.76315	37.47181249	.
Oahu_CentralTrackingPV_174_na	.	CentralTrackingPV	Oahu	18908.15981	0.643265444	.
Oahu_CentralTrackingPV_175_na	.	CentralTrackingPV	Oahu	18598.21334	3.168577402	.
Oahu_CentralTrackingPV_176_na	.	CentralTrackingPV	Oahu	18333.35324	11.26312545	.
