GENERATION_PROJECT	build_year	gen_overnight_cost	gen_fixed_om
Oahu_DistPV_Oahu_DistPV_9	2021	3004667.94574	0.0
Oahu_DistPV_Oahu_DistPV_9	2037	1979421.6992	0.0
Oahu_H-Power	1989	0.0	0.0
Oahu_IC_Barge	2021	1323517.35692	34214.2214559
Oahu_IC_Barge	2037	1323510.5144	34214.2214559
Oahu_IC_MCBH	2021	3075096.99652	33843.8169068
Oahu_IC_MCBH	2037	2873221.00763	33843.8169068
Oahu_IC_Schofield	2021	2412880.98656	33843.8169068
Oahu_IC_Schofield	2037	2254436.87103	33843.8169068
Oahu_Kahe_4	1972	0.0	0.0
Oahu_Kahe_5	1974	0.0	0.0
Oahu_Kahe_6	1981	0.0	0.0
Oahu_Kalaeloa_CC1	1989	0.0	0.0
Oahu_Kalaeloa_CC2	1991	0.0	0.0
Oahu_Kalaeloa_CC3	1991	0.0	0.0
Oahu_OffshoreWind_OffWind	2021	5377776.94144	96710.0
Oahu_OffshoreWind_OffWind	2037	4150933.48195	96710.0
Oahu_OnshoreWind_OnWind_101	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_101	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_102	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_102	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_103	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_103	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_104	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_104	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_105	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_105	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_106	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_106	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_107	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_107	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_201	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_201	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_202	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_202	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_203	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_203	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_204	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_204	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_205	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_205	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_206	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_206	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_207	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_207	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_208	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_208	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_209	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_209	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_301	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_301	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_302	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_302	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_303	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_303	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_304	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_304	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_305	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_305	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_306	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_306	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_307	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_307	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_308	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_308	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_309	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_309	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_401	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_401	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_402	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_402	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_403	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_403	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_404	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_404	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_405	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_405	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_406	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_406	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_407	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_407	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_408	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_408	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_409	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_409	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_410	2021	2305328.62536	27400.0
Oahu_OnshoreWind_OnWind_410	2037	2111584.91729	27400.0
Oahu_OnshoreWind_OnWind_501	2021	2305328.62536	27400.0
